[Epoch 0][Batch 1899], Speed: 8.037 samples/sec, RPN_Conf=0.097,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.492,RCNN_SmoothL1=0.207,RPNAcc=0.962,RPNL1Loss=0.503,RCNNAcc=0.903,RCNNL1Loss=1.939
[Epoch 0][Batch 1999], Speed: 8.114 samples/sec, RPN_Conf=0.096,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.489,RCNN_SmoothL1=0.206,RPNAcc=0.962,RPNL1Loss=0.501,RCNNAcc=0.902,RCNNL1Loss=1.919
[Epoch 0][Batch 2099], Speed: 8.103 samples/sec, RPN_Conf=0.095,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.486,RCNN_SmoothL1=0.206,RPNAcc=0.963,RPNL1Loss=0.498,RCNNAcc=0.902,RCNNL1Loss=1.900
[Epoch 0][Batch 2199], Speed: 8.090 samples/sec, RPN_Conf=0.094,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.483,RCNN_SmoothL1=0.205,RPNAcc=0.963,RPNL1Loss=0.496,RCNNAcc=0.902,RCNNL1Loss=1.882
[Epoch 0][Batch 2299], Speed: 8.131 samples/sec, RPN_Conf=0.093,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.480,RCNN_SmoothL1=0.204,RPNAcc=0.964,RPNL1Loss=0.494,RCNNAcc=0.902,RCNNL1Loss=1.866
[Epoch 0][Batch 2399], Speed: 8.043 samples/sec, RPN_Conf=0.093,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.476,RCNN_SmoothL1=0.203,RPNAcc=0.964,RPNL1Loss=0.492,RCNNAcc=0.902,RCNNL1Loss=1.849
[Epoch 0][Batch 2499], Speed: 8.146 samples/sec, RPN_Conf=0.092,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.473,RCNN_SmoothL1=0.202,RPNAcc=0.964,RPNL1Loss=0.490,RCNNAcc=0.902,RCNNL1Loss=1.834
[Epoch 0][Batch 2599], Speed: 8.173 samples/sec, RPN_Conf=0.091,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.469,RCNN_SmoothL1=0.201,RPNAcc=0.965,RPNL1Loss=0.489,RCNNAcc=0.902,RCNNL1Loss=1.818
[Epoch 0][Batch 2699], Speed: 8.105 samples/sec, RPN_Conf=0.090,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.467,RCNN_SmoothL1=0.201,RPNAcc=0.965,RPNL1Loss=0.486,RCNNAcc=0.902,RCNNL1Loss=1.803
[Epoch 0][Batch 2799], Speed: 8.160 samples/sec, RPN_Conf=0.089,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.464,RCNN_SmoothL1=0.200,RPNAcc=0.965,RPNL1Loss=0.484,RCNNAcc=0.902,RCNNL1Loss=1.790
[Epoch 0][Batch 2899], Speed: 8.161 samples/sec, RPN_Conf=0.088,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.461,RCNN_SmoothL1=0.199,RPNAcc=0.966,RPNL1Loss=0.482,RCNNAcc=0.902,RCNNL1Loss=1.776
[Epoch 0][Batch 2999], Speed: 8.127 samples/sec, RPN_Conf=0.088,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.458,RCNN_SmoothL1=0.199,RPNAcc=0.966,RPNL1Loss=0.481,RCNNAcc=0.902,RCNNL1Loss=1.762
[Epoch 0][Batch 3099], Speed: 8.116 samples/sec, RPN_Conf=0.087,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.455,RCNN_SmoothL1=0.198,RPNAcc=0.966,RPNL1Loss=0.479,RCNNAcc=0.901,RCNNL1Loss=1.749
[Epoch 0][Batch 3199], Speed: 8.069 samples/sec, RPN_Conf=0.086,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.453,RCNN_SmoothL1=0.198,RPNAcc=0.966,RPNL1Loss=0.477,RCNNAcc=0.901,RCNNL1Loss=1.737
[Epoch 0][Batch 3299], Speed: 8.133 samples/sec, RPN_Conf=0.086,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.450,RCNN_SmoothL1=0.197,RPNAcc=0.967,RPNL1Loss=0.475,RCNNAcc=0.901,RCNNL1Loss=1.725
[Epoch 0][Batch 3399], Speed: 8.134 samples/sec, RPN_Conf=0.085,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.448,RCNN_SmoothL1=0.196,RPNAcc=0.967,RPNL1Loss=0.473,RCNNAcc=0.901,RCNNL1Loss=1.714
[Epoch 0][Batch 3499], Speed: 8.122 samples/sec, RPN_Conf=0.085,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.445,RCNN_SmoothL1=0.196,RPNAcc=0.967,RPNL1Loss=0.471,RCNNAcc=0.901,RCNNL1Loss=1.703
[Epoch 0][Batch 3599], Speed: 7.970 samples/sec, RPN_Conf=0.084,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.443,RCNN_SmoothL1=0.195,RPNAcc=0.967,RPNL1Loss=0.470,RCNNAcc=0.901,RCNNL1Loss=1.692
[Epoch 0][Batch 3699], Speed: 8.174 samples/sec, RPN_Conf=0.084,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.441,RCNN_SmoothL1=0.195,RPNAcc=0.967,RPNL1Loss=0.468,RCNNAcc=0.901,RCNNL1Loss=1.681
[Epoch 0][Batch 3799], Speed: 8.178 samples/sec, RPN_Conf=0.083,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.439,RCNN_SmoothL1=0.194,RPNAcc=0.968,RPNL1Loss=0.467,RCNNAcc=0.901,RCNNL1Loss=1.671
[Epoch 0][Batch 3899], Speed: 8.117 samples/sec, RPN_Conf=0.083,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.437,RCNN_SmoothL1=0.193,RPNAcc=0.968,RPNL1Loss=0.466,RCNNAcc=0.901,RCNNL1Loss=1.662
[Epoch 0][Batch 3999], Speed: 8.079 samples/sec, RPN_Conf=0.082,RPN_SmoothL1=0.056,RCNN_CrossEntropy=0.435,RCNN_SmoothL1=0.193,RPNAcc=0.968,RPNL1Loss=0.464,RCNNAcc=0.901,RCNNL1Loss=1.652
[Epoch 0][Batch 4099], Speed: 8.138 samples/sec, RPN_Conf=0.082,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.433,RCNN_SmoothL1=0.192,RPNAcc=0.968,RPNL1Loss=0.463,RCNNAcc=0.901,RCNNL1Loss=1.644
[Epoch 0][Batch 4199], Speed: 8.123 samples/sec, RPN_Conf=0.081,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.431,RCNN_SmoothL1=0.192,RPNAcc=0.968,RPNL1Loss=0.462,RCNNAcc=0.901,RCNNL1Loss=1.636
[Epoch 0][Batch 4299], Speed: 8.099 samples/sec, RPN_Conf=0.081,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.429,RCNN_SmoothL1=0.191,RPNAcc=0.969,RPNL1Loss=0.461,RCNNAcc=0.902,RCNNL1Loss=1.629
[Epoch 0][Batch 4399], Speed: 8.125 samples/sec, RPN_Conf=0.081,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.428,RCNN_SmoothL1=0.191,RPNAcc=0.969,RPNL1Loss=0.459,RCNNAcc=0.902,RCNNL1Loss=1.622
[Epoch 0][Batch 4499], Speed: 8.213 samples/sec, RPN_Conf=0.080,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.426,RCNN_SmoothL1=0.191,RPNAcc=0.969,RPNL1Loss=0.458,RCNNAcc=0.902,RCNNL1Loss=1.614
[Epoch 0][Batch 4599], Speed: 8.120 samples/sec, RPN_Conf=0.080,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.424,RCNN_SmoothL1=0.190,RPNAcc=0.969,RPNL1Loss=0.457,RCNNAcc=0.902,RCNNL1Loss=1.607
[Epoch 0][Batch 4699], Speed: 8.099 samples/sec, RPN_Conf=0.080,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.423,RCNN_SmoothL1=0.190,RPNAcc=0.969,RPNL1Loss=0.456,RCNNAcc=0.902,RCNNL1Loss=1.599
[Epoch 0][Batch 4799], Speed: 8.086 samples/sec, RPN_Conf=0.079,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.421,RCNN_SmoothL1=0.189,RPNAcc=0.969,RPNL1Loss=0.455,RCNNAcc=0.902,RCNNL1Loss=1.592
[Epoch 0][Batch 4899], Speed: 8.127 samples/sec, RPN_Conf=0.079,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.420,RCNN_SmoothL1=0.189,RPNAcc=0.969,RPNL1Loss=0.454,RCNNAcc=0.902,RCNNL1Loss=1.585
[Epoch 0][Batch 4999], Speed: 8.199 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.418,RCNN_SmoothL1=0.188,RPNAcc=0.970,RPNL1Loss=0.453,RCNNAcc=0.902,RCNNL1Loss=1.578
[Epoch 0][Batch 5099], Speed: 8.062 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.416,RCNN_SmoothL1=0.188,RPNAcc=0.970,RPNL1Loss=0.452,RCNNAcc=0.902,RCNNL1Loss=1.571
[Epoch 0][Batch 5199], Speed: 8.098 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.415,RCNN_SmoothL1=0.187,RPNAcc=0.970,RPNL1Loss=0.451,RCNNAcc=0.902,RCNNL1Loss=1.565
[Epoch 0][Batch 5299], Speed: 8.108 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.413,RCNN_SmoothL1=0.187,RPNAcc=0.970,RPNL1Loss=0.450,RCNNAcc=0.902,RCNNL1Loss=1.559
[Epoch 0][Batch 5399], Speed: 8.092 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.412,RCNN_SmoothL1=0.186,RPNAcc=0.970,RPNL1Loss=0.449,RCNNAcc=0.902,RCNNL1Loss=1.553
[Epoch 0][Batch 5499], Speed: 8.129 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.410,RCNN_SmoothL1=0.186,RPNAcc=0.970,RPNL1Loss=0.448,RCNNAcc=0.902,RCNNL1Loss=1.547
[Epoch 0][Batch 5599], Speed: 8.128 samples/sec, RPN_Conf=0.076,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.409,RCNN_SmoothL1=0.186,RPNAcc=0.970,RPNL1Loss=0.447,RCNNAcc=0.902,RCNNL1Loss=1.541
[Epoch 0][Batch 5699], Speed: 8.168 samples/sec, RPN_Conf=0.076,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.408,RCNN_SmoothL1=0.185,RPNAcc=0.971,RPNL1Loss=0.447,RCNNAcc=0.902,RCNNL1Loss=1.535
[Epoch 0][Batch 5799], Speed: 8.155 samples/sec, RPN_Conf=0.076,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.407,RCNN_SmoothL1=0.185,RPNAcc=0.971,RPNL1Loss=0.446,RCNNAcc=0.902,RCNNL1Loss=1.530
[Epoch 0][Batch 5899], Speed: 8.114 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.405,RCNN_SmoothL1=0.184,RPNAcc=0.971,RPNL1Loss=0.445,RCNNAcc=0.902,RCNNL1Loss=1.524
[Epoch 0][Batch 5999], Speed: 8.161 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.404,RCNN_SmoothL1=0.184,RPNAcc=0.971,RPNL1Loss=0.444,RCNNAcc=0.902,RCNNL1Loss=1.519
[Epoch 0][Batch 6099], Speed: 8.156 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.403,RCNN_SmoothL1=0.184,RPNAcc=0.971,RPNL1Loss=0.443,RCNNAcc=0.903,RCNNL1Loss=1.514
[Epoch 0][Batch 6199], Speed: 8.073 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.402,RCNN_SmoothL1=0.183,RPNAcc=0.971,RPNL1Loss=0.442,RCNNAcc=0.903,RCNNL1Loss=1.509
[Epoch 0][Batch 6299], Speed: 8.026 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.401,RCNN_SmoothL1=0.183,RPNAcc=0.971,RPNL1Loss=0.442,RCNNAcc=0.903,RCNNL1Loss=1.505
[Epoch 0][Batch 6399], Speed: 8.182 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.400,RCNN_SmoothL1=0.183,RPNAcc=0.971,RPNL1Loss=0.441,RCNNAcc=0.903,RCNNL1Loss=1.500
[Epoch 0][Batch 6499], Speed: 8.067 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.399,RCNN_SmoothL1=0.182,RPNAcc=0.971,RPNL1Loss=0.440,RCNNAcc=0.903,RCNNL1Loss=1.495
[Epoch 0][Batch 6599], Speed: 8.151 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.398,RCNN_SmoothL1=0.182,RPNAcc=0.972,RPNL1Loss=0.439,RCNNAcc=0.903,RCNNL1Loss=1.490
[Epoch 0][Batch 6699], Speed: 8.177 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.397,RCNN_SmoothL1=0.182,RPNAcc=0.972,RPNL1Loss=0.438,RCNNAcc=0.903,RCNNL1Loss=1.486
[Epoch 0][Batch 6799], Speed: 8.190 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.396,RCNN_SmoothL1=0.181,RPNAcc=0.972,RPNL1Loss=0.438,RCNNAcc=0.903,RCNNL1Loss=1.482
[Epoch 0][Batch 6899], Speed: 8.111 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.394,RCNN_SmoothL1=0.181,RPNAcc=0.972,RPNL1Loss=0.437,RCNNAcc=0.903,RCNNL1Loss=1.478
[Epoch 0][Batch 6999], Speed: 8.060 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.393,RCNN_SmoothL1=0.181,RPNAcc=0.972,RPNL1Loss=0.436,RCNNAcc=0.903,RCNNL1Loss=1.473
