Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 1][Batch 2099], Speed: 190.675 samples/sec, CrossEntropy=4.850, SmoothL1=4.477
[Epoch 1][Batch 2199], Speed: 148.238 samples/sec, CrossEntropy=4.843, SmoothL1=4.466
[Epoch 1][Batch 2299], Speed: 184.422 samples/sec, CrossEntropy=4.837, SmoothL1=4.461
[Epoch 1][Batch 2399], Speed: 165.034 samples/sec, CrossEntropy=4.831, SmoothL1=4.461
[Epoch 1][Batch 2499], Speed: 123.579 samples/sec, CrossEntropy=4.825, SmoothL1=4.462
[Epoch 1][Batch 2599], Speed: 211.164 samples/sec, CrossEntropy=4.818, SmoothL1=4.461
[Epoch 1][Batch 2699], Speed: 175.932 samples/sec, CrossEntropy=4.811, SmoothL1=4.458
[Epoch 1][Batch 2799], Speed: 155.140 samples/sec, CrossEntropy=4.804, SmoothL1=4.461
[Epoch 1][Batch 2899], Speed: 150.445 samples/sec, CrossEntropy=4.797, SmoothL1=4.458
[Epoch 1][Batch 2999], Speed: 213.632 samples/sec, CrossEntropy=4.793, SmoothL1=4.456
[Epoch 1][Batch 3099], Speed: 176.834 samples/sec, CrossEntropy=4.787, SmoothL1=4.452
[Epoch 1][Batch 3199], Speed: 129.589 samples/sec, CrossEntropy=4.780, SmoothL1=4.454
[Epoch 1][Batch 3299], Speed: 166.348 samples/sec, CrossEntropy=4.775, SmoothL1=4.451
[Epoch 1][Batch 3399], Speed: 220.878 samples/sec, CrossEntropy=4.770, SmoothL1=4.445
[Epoch 1][Batch 3499], Speed: 165.507 samples/sec, CrossEntropy=4.764, SmoothL1=4.441
[Epoch 1][Batch 3599], Speed: 171.806 samples/sec, CrossEntropy=4.758, SmoothL1=4.434
[Epoch 1] Training cost: 760.804, CrossEntropy=4.755, SmoothL1=4.434
[Epoch 2][Batch 99], Speed: 161.195 samples/sec, CrossEntropy=4.510, SmoothL1=4.511
[Epoch 2][Batch 199], Speed: 165.245 samples/sec, CrossEntropy=4.543, SmoothL1=4.397
[Epoch 2][Batch 299], Speed: 219.724 samples/sec, CrossEntropy=4.538, SmoothL1=4.393
[Epoch 2][Batch 399], Speed: 156.288 samples/sec, CrossEntropy=4.539, SmoothL1=4.385
