Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 1899], Speed: 12.007 samples/sec, RPN_Conf=0.181,RPN_SmoothL1=0.130,RCNN_CrossEntropy=0.731,RCNN_SmoothL1=0.392,RPNAcc=0.927,RPNL1Loss=0.513,RCNNAcc=0.817,RCNNL1Loss=1.849
[Epoch 0][Batch 1999], Speed: 12.006 samples/sec, RPN_Conf=0.179,RPN_SmoothL1=0.130,RCNN_CrossEntropy=0.724,RCNN_SmoothL1=0.389,RPNAcc=0.928,RPNL1Loss=0.510,RCNNAcc=0.817,RCNNL1Loss=1.832
[Epoch 0][Batch 2099], Speed: 11.950 samples/sec, RPN_Conf=0.177,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.718,RCNN_SmoothL1=0.387,RPNAcc=0.929,RPNL1Loss=0.508,RCNNAcc=0.818,RCNNL1Loss=1.817
[Epoch 0][Batch 2199], Speed: 12.010 samples/sec, RPN_Conf=0.176,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.712,RCNN_SmoothL1=0.384,RPNAcc=0.929,RPNL1Loss=0.506,RCNNAcc=0.819,RCNNL1Loss=1.801
[Epoch 0][Batch 2299], Speed: 12.110 samples/sec, RPN_Conf=0.174,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.707,RCNN_SmoothL1=0.382,RPNAcc=0.930,RPNL1Loss=0.504,RCNNAcc=0.820,RCNNL1Loss=1.786
[Epoch 0][Batch 2399], Speed: 12.010 samples/sec, RPN_Conf=0.173,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.701,RCNN_SmoothL1=0.379,RPNAcc=0.931,RPNL1Loss=0.502,RCNNAcc=0.821,RCNNL1Loss=1.772
[Epoch 0][Batch 2499], Speed: 12.226 samples/sec, RPN_Conf=0.172,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.695,RCNN_SmoothL1=0.377,RPNAcc=0.931,RPNL1Loss=0.500,RCNNAcc=0.821,RCNNL1Loss=1.758
[Epoch 0][Batch 2599], Speed: 12.156 samples/sec, RPN_Conf=0.170,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.690,RCNN_SmoothL1=0.374,RPNAcc=0.932,RPNL1Loss=0.499,RCNNAcc=0.822,RCNNL1Loss=1.745
[Epoch 0][Batch 2699], Speed: 12.025 samples/sec, RPN_Conf=0.169,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.686,RCNN_SmoothL1=0.372,RPNAcc=0.933,RPNL1Loss=0.497,RCNNAcc=0.823,RCNNL1Loss=1.731
[Epoch 0][Batch 2799], Speed: 11.800 samples/sec, RPN_Conf=0.167,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.681,RCNN_SmoothL1=0.370,RPNAcc=0.933,RPNL1Loss=0.495,RCNNAcc=0.823,RCNNL1Loss=1.720
[Epoch 0][Batch 2899], Speed: 11.884 samples/sec, RPN_Conf=0.166,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.677,RCNN_SmoothL1=0.368,RPNAcc=0.934,RPNL1Loss=0.493,RCNNAcc=0.824,RCNNL1Loss=1.708
[Epoch 0][Batch 2999], Speed: 11.594 samples/sec, RPN_Conf=0.165,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.672,RCNN_SmoothL1=0.366,RPNAcc=0.934,RPNL1Loss=0.491,RCNNAcc=0.824,RCNNL1Loss=1.695
[Epoch 0][Batch 3099], Speed: 11.754 samples/sec, RPN_Conf=0.164,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.668,RCNN_SmoothL1=0.364,RPNAcc=0.935,RPNL1Loss=0.489,RCNNAcc=0.825,RCNNL1Loss=1.684
[Epoch 0][Batch 3199], Speed: 11.657 samples/sec, RPN_Conf=0.163,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.664,RCNN_SmoothL1=0.362,RPNAcc=0.935,RPNL1Loss=0.487,RCNNAcc=0.826,RCNNL1Loss=1.672
[Epoch 0][Batch 3299], Speed: 11.597 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.660,RCNN_SmoothL1=0.360,RPNAcc=0.936,RPNL1Loss=0.485,RCNNAcc=0.826,RCNNL1Loss=1.662
[Epoch 0][Batch 3399], Speed: 11.912 samples/sec, RPN_Conf=0.161,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.656,RCNN_SmoothL1=0.359,RPNAcc=0.936,RPNL1Loss=0.484,RCNNAcc=0.827,RCNNL1Loss=1.652
[Epoch 0][Batch 3499], Speed: 11.952 samples/sec, RPN_Conf=0.160,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.652,RCNN_SmoothL1=0.357,RPNAcc=0.936,RPNL1Loss=0.482,RCNNAcc=0.828,RCNNL1Loss=1.641
[Epoch 0][Batch 3599], Speed: 11.809 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.648,RCNN_SmoothL1=0.355,RPNAcc=0.937,RPNL1Loss=0.481,RCNNAcc=0.828,RCNNL1Loss=1.632
[Epoch 0][Batch 3699], Speed: 11.733 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.645,RCNN_SmoothL1=0.354,RPNAcc=0.937,RPNL1Loss=0.480,RCNNAcc=0.829,RCNNL1Loss=1.623
[Epoch 0][Batch 3799], Speed: 11.749 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.642,RCNN_SmoothL1=0.352,RPNAcc=0.937,RPNL1Loss=0.478,RCNNAcc=0.829,RCNNL1Loss=1.614
[Epoch 0][Batch 3899], Speed: 11.973 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.638,RCNN_SmoothL1=0.350,RPNAcc=0.938,RPNL1Loss=0.477,RCNNAcc=0.830,RCNNL1Loss=1.605
[Epoch 0][Batch 3999], Speed: 12.035 samples/sec, RPN_Conf=0.156,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.636,RCNN_SmoothL1=0.349,RPNAcc=0.938,RPNL1Loss=0.476,RCNNAcc=0.830,RCNNL1Loss=1.597
[Epoch 0][Batch 4099], Speed: 12.013 samples/sec, RPN_Conf=0.155,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.633,RCNN_SmoothL1=0.347,RPNAcc=0.938,RPNL1Loss=0.475,RCNNAcc=0.830,RCNNL1Loss=1.589
