Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet50_v1b', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet50_v1b_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 1899], Speed: 15.057 samples/sec, RPN_Conf=0.197,RPN_SmoothL1=0.131,RCNN_CrossEntropy=0.739,RCNN_SmoothL1=0.381,RPNAcc=0.919,RPNL1Loss=0.516,RCNNAcc=0.821,RCNNL1Loss=1.861
[Epoch 0][Batch 1999], Speed: 15.010 samples/sec, RPN_Conf=0.196,RPN_SmoothL1=0.130,RCNN_CrossEntropy=0.734,RCNN_SmoothL1=0.379,RPNAcc=0.919,RPNL1Loss=0.513,RCNNAcc=0.821,RCNNL1Loss=1.848
[Epoch 0][Batch 2099], Speed: 14.951 samples/sec, RPN_Conf=0.194,RPN_SmoothL1=0.130,RCNN_CrossEntropy=0.728,RCNN_SmoothL1=0.377,RPNAcc=0.920,RPNL1Loss=0.511,RCNNAcc=0.822,RCNNL1Loss=1.835
[Epoch 0][Batch 2199], Speed: 15.094 samples/sec, RPN_Conf=0.193,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.723,RCNN_SmoothL1=0.375,RPNAcc=0.921,RPNL1Loss=0.510,RCNNAcc=0.822,RCNNL1Loss=1.821
[Epoch 0][Batch 2299], Speed: 15.051 samples/sec, RPN_Conf=0.192,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.717,RCNN_SmoothL1=0.373,RPNAcc=0.921,RPNL1Loss=0.508,RCNNAcc=0.823,RCNNL1Loss=1.809
[Epoch 0][Batch 2399], Speed: 15.078 samples/sec, RPN_Conf=0.190,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.712,RCNN_SmoothL1=0.371,RPNAcc=0.921,RPNL1Loss=0.507,RCNNAcc=0.823,RCNNL1Loss=1.796
[Epoch 0][Batch 2499], Speed: 15.141 samples/sec, RPN_Conf=0.189,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.708,RCNN_SmoothL1=0.369,RPNAcc=0.922,RPNL1Loss=0.505,RCNNAcc=0.824,RCNNL1Loss=1.783
[Epoch 0][Batch 2599], Speed: 15.123 samples/sec, RPN_Conf=0.188,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.703,RCNN_SmoothL1=0.368,RPNAcc=0.923,RPNL1Loss=0.504,RCNNAcc=0.824,RCNNL1Loss=1.772
[Epoch 0][Batch 2699], Speed: 15.012 samples/sec, RPN_Conf=0.186,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.699,RCNN_SmoothL1=0.366,RPNAcc=0.923,RPNL1Loss=0.502,RCNNAcc=0.824,RCNNL1Loss=1.760
[Epoch 0][Batch 2799], Speed: 15.362 samples/sec, RPN_Conf=0.186,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.695,RCNN_SmoothL1=0.365,RPNAcc=0.924,RPNL1Loss=0.501,RCNNAcc=0.825,RCNNL1Loss=1.751
