Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_resnet50_v1_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 1][Batch 2099], Speed: 116.927 samples/sec, CrossEntropy=4.323, SmoothL1=2.445
[Epoch 1][Batch 2199], Speed: 127.388 samples/sec, CrossEntropy=4.315, SmoothL1=2.438
[Epoch 1][Batch 2299], Speed: 120.324 samples/sec, CrossEntropy=4.310, SmoothL1=2.435
[Epoch 1][Batch 2399], Speed: 110.115 samples/sec, CrossEntropy=4.304, SmoothL1=2.430
[Epoch 1][Batch 2499], Speed: 128.834 samples/sec, CrossEntropy=4.298, SmoothL1=2.428
[Epoch 1][Batch 2599], Speed: 124.243 samples/sec, CrossEntropy=4.291, SmoothL1=2.427
[Epoch 1][Batch 2699], Speed: 125.878 samples/sec, CrossEntropy=4.286, SmoothL1=2.424
[Epoch 1][Batch 2799], Speed: 139.226 samples/sec, CrossEntropy=4.279, SmoothL1=2.424
[Epoch 1][Batch 2899], Speed: 126.444 samples/sec, CrossEntropy=4.273, SmoothL1=2.421
[Epoch 1][Batch 2999], Speed: 127.062 samples/sec, CrossEntropy=4.269, SmoothL1=2.420
[Epoch 1][Batch 3099], Speed: 111.193 samples/sec, CrossEntropy=4.262, SmoothL1=2.418
[Epoch 1][Batch 3199], Speed: 115.558 samples/sec, CrossEntropy=4.256, SmoothL1=2.417
[Epoch 1][Batch 3299], Speed: 120.260 samples/sec, CrossEntropy=4.251, SmoothL1=2.415
[Epoch 1][Batch 3399], Speed: 141.228 samples/sec, CrossEntropy=4.245, SmoothL1=2.412
[Epoch 1][Batch 3499], Speed: 147.257 samples/sec, CrossEntropy=4.239, SmoothL1=2.408
[Epoch 1][Batch 3599], Speed: 147.616 samples/sec, CrossEntropy=4.234, SmoothL1=2.406
[Epoch 1] Training cost: 1004.106, CrossEntropy=4.230, SmoothL1=2.405
[Epoch 2][Batch 99], Speed: 99.743 samples/sec, CrossEntropy=3.995, SmoothL1=2.331
[Epoch 2][Batch 199], Speed: 89.400 samples/sec, CrossEntropy=4.021, SmoothL1=2.345
[Epoch 2][Batch 299], Speed: 127.814 samples/sec, CrossEntropy=4.015, SmoothL1=2.339
[Epoch 2][Batch 399], Speed: 119.262 samples/sec, CrossEntropy=4.019, SmoothL1=2.343
[Epoch 2][Batch 499], Speed: 111.321 samples/sec, CrossEntropy=4.014, SmoothL1=2.324
[Epoch 2][Batch 599], Speed: 128.295 samples/sec, CrossEntropy=4.009, SmoothL1=2.330
[Epoch 2][Batch 699], Speed: 121.386 samples/sec, CrossEntropy=4.004, SmoothL1=2.327
[Epoch 2][Batch 799], Speed: 123.041 samples/sec, CrossEntropy=3.996, SmoothL1=2.318
[Epoch 2][Batch 899], Speed: 126.031 samples/sec, CrossEntropy=3.994, SmoothL1=2.314
[Epoch 2][Batch 999], Speed: 124.090 samples/sec, CrossEntropy=3.992, SmoothL1=2.311
[Epoch 2][Batch 1099], Speed: 114.481 samples/sec, CrossEntropy=3.989, SmoothL1=2.304
[Epoch 2][Batch 1199], Speed: 143.412 samples/sec, CrossEntropy=3.982, SmoothL1=2.299
[Epoch 2][Batch 1299], Speed: 122.760 samples/sec, CrossEntropy=3.981, SmoothL1=2.303
[Epoch 2][Batch 1399], Speed: 129.696 samples/sec, CrossEntropy=3.979, SmoothL1=2.303
[Epoch 2][Batch 1499], Speed: 141.077 samples/sec, CrossEntropy=3.975, SmoothL1=2.301
[Epoch 2][Batch 1599], Speed: 126.044 samples/sec, CrossEntropy=3.971, SmoothL1=2.300
[Epoch 2][Batch 1699], Speed: 132.849 samples/sec, CrossEntropy=3.969, SmoothL1=2.301
[Epoch 2][Batch 1799], Speed: 119.843 samples/sec, CrossEntropy=3.965, SmoothL1=2.297
[Epoch 2][Batch 1899], Speed: 132.223 samples/sec, CrossEntropy=3.961, SmoothL1=2.295
[Epoch 2][Batch 1999], Speed: 126.309 samples/sec, CrossEntropy=3.957, SmoothL1=2.293
[Epoch 2][Batch 2099], Speed: 113.924 samples/sec, CrossEntropy=3.952, SmoothL1=2.291
[Epoch 2][Batch 2199], Speed: 130.163 samples/sec, CrossEntropy=3.950, SmoothL1=2.290
[Epoch 2][Batch 2299], Speed: 121.382 samples/sec, CrossEntropy=3.947, SmoothL1=2.287
[Epoch 2][Batch 2399], Speed: 115.362 samples/sec, CrossEntropy=3.945, SmoothL1=2.285
[Epoch 2][Batch 2499], Speed: 132.896 samples/sec, CrossEntropy=3.943, SmoothL1=2.284
[Epoch 2][Batch 2599], Speed: 128.104 samples/sec, CrossEntropy=3.940, SmoothL1=2.282
[Epoch 2][Batch 2699], Speed: 118.905 samples/sec, CrossEntropy=3.936, SmoothL1=2.280
[Epoch 2][Batch 2799], Speed: 111.853 samples/sec, CrossEntropy=3.933, SmoothL1=2.278
[Epoch 2][Batch 2899], Speed: 125.642 samples/sec, CrossEntropy=3.931, SmoothL1=2.277
[Epoch 2][Batch 2999], Speed: 121.375 samples/sec, CrossEntropy=3.928, SmoothL1=2.275
[Epoch 2][Batch 3099], Speed: 109.263 samples/sec, CrossEntropy=3.925, SmoothL1=2.276
[Epoch 2][Batch 3199], Speed: 129.872 samples/sec, CrossEntropy=3.922, SmoothL1=2.276
[Epoch 2][Batch 3299], Speed: 122.316 samples/sec, CrossEntropy=3.918, SmoothL1=2.274
[Epoch 2][Batch 3399], Speed: 127.347 samples/sec, CrossEntropy=3.914, SmoothL1=2.272
[Epoch 2][Batch 3499], Speed: 145.967 samples/sec, CrossEntropy=3.911, SmoothL1=2.271
[Epoch 2][Batch 3599], Speed: 146.619 samples/sec, CrossEntropy=3.908, SmoothL1=2.268
[Epoch 2] Training cost: 1003.491, CrossEntropy=3.906, SmoothL1=2.269
[Epoch 3][Batch 99], Speed: 84.637 samples/sec, CrossEntropy=3.783, SmoothL1=2.229
[Epoch 3][Batch 199], Speed: 115.927 samples/sec, CrossEntropy=3.781, SmoothL1=2.210
[Epoch 3][Batch 299], Speed: 114.860 samples/sec, CrossEntropy=3.789, SmoothL1=2.208
[Epoch 3][Batch 399], Speed: 142.251 samples/sec, CrossEntropy=3.791, SmoothL1=2.203
[Epoch 3][Batch 499], Speed: 128.443 samples/sec, CrossEntropy=3.796, SmoothL1=2.212
[Epoch 3][Batch 599], Speed: 114.689 samples/sec, CrossEntropy=3.791, SmoothL1=2.211
[Epoch 3][Batch 699], Speed: 108.644 samples/sec, CrossEntropy=3.792, SmoothL1=2.207
[Epoch 3][Batch 799], Speed: 137.554 samples/sec, CrossEntropy=3.790, SmoothL1=2.213
[Epoch 3][Batch 899], Speed: 114.871 samples/sec, CrossEntropy=3.788, SmoothL1=2.215
[Epoch 3][Batch 999], Speed: 126.732 samples/sec, CrossEntropy=3.786, SmoothL1=2.218
[Epoch 3][Batch 1099], Speed: 116.470 samples/sec, CrossEntropy=3.785, SmoothL1=2.216
[Epoch 3][Batch 1199], Speed: 132.638 samples/sec, CrossEntropy=3.784, SmoothL1=2.211
[Epoch 3][Batch 1299], Speed: 146.994 samples/sec, CrossEntropy=3.779, SmoothL1=2.207
[Epoch 3][Batch 1399], Speed: 113.318 samples/sec, CrossEntropy=3.771, SmoothL1=2.204
[Epoch 3][Batch 1499], Speed: 128.475 samples/sec, CrossEntropy=3.771, SmoothL1=2.202
[Epoch 3][Batch 1599], Speed: 113.618 samples/sec, CrossEntropy=3.770, SmoothL1=2.197
[Epoch 3][Batch 1699], Speed: 124.102 samples/sec, CrossEntropy=3.768, SmoothL1=2.194
[Epoch 3][Batch 1799], Speed: 128.649 samples/sec, CrossEntropy=3.767, SmoothL1=2.194
[Epoch 3][Batch 1899], Speed: 122.347 samples/sec, CrossEntropy=3.765, SmoothL1=2.194
[Epoch 3][Batch 1999], Speed: 114.661 samples/sec, CrossEntropy=3.762, SmoothL1=2.193
[Epoch 3][Batch 2099], Speed: 102.196 samples/sec, CrossEntropy=3.760, SmoothL1=2.190
[Epoch 3][Batch 2199], Speed: 124.051 samples/sec, CrossEntropy=3.758, SmoothL1=2.191
[Epoch 3][Batch 2299], Speed: 123.751 samples/sec, CrossEntropy=3.757, SmoothL1=2.190
[Epoch 3][Batch 2399], Speed: 97.860 samples/sec, CrossEntropy=3.756, SmoothL1=2.189
[Epoch 3][Batch 2499], Speed: 131.320 samples/sec, CrossEntropy=3.754, SmoothL1=2.191
[Epoch 3][Batch 2599], Speed: 121.832 samples/sec, CrossEntropy=3.751, SmoothL1=2.189
[Epoch 3][Batch 2699], Speed: 123.382 samples/sec, CrossEntropy=3.750, SmoothL1=2.190
[Epoch 3][Batch 2799], Speed: 134.309 samples/sec, CrossEntropy=3.749, SmoothL1=2.188
[Epoch 3][Batch 2899], Speed: 131.368 samples/sec, CrossEntropy=3.747, SmoothL1=2.187
[Epoch 3][Batch 2999], Speed: 111.540 samples/sec, CrossEntropy=3.746, SmoothL1=2.188
[Epoch 3][Batch 3099], Speed: 132.834 samples/sec, CrossEntropy=3.743, SmoothL1=2.187
[Epoch 3][Batch 3199], Speed: 121.318 samples/sec, CrossEntropy=3.742, SmoothL1=2.185
[Epoch 3][Batch 3299], Speed: 110.470 samples/sec, CrossEntropy=3.739, SmoothL1=2.182
[Epoch 3][Batch 3399], Speed: 123.187 samples/sec, CrossEntropy=3.737, SmoothL1=2.181
[Epoch 3][Batch 3499], Speed: 147.992 samples/sec, CrossEntropy=3.735, SmoothL1=2.183
[Epoch 3][Batch 3599], Speed: 145.593 samples/sec, CrossEntropy=3.733, SmoothL1=2.182
[Epoch 3] Training cost: 999.935, CrossEntropy=3.732, SmoothL1=2.182
[Epoch 4][Batch 99], Speed: 95.958 samples/sec, CrossEntropy=3.666, SmoothL1=2.123
[Epoch 4][Batch 199], Speed: 70.865 samples/sec, CrossEntropy=3.664, SmoothL1=2.131
[Epoch 4][Batch 299], Speed: 123.684 samples/sec, CrossEntropy=3.668, SmoothL1=2.150
[Epoch 4][Batch 399], Speed: 106.775 samples/sec, CrossEntropy=3.655, SmoothL1=2.164
[Epoch 4][Batch 499], Speed: 118.038 samples/sec, CrossEntropy=3.650, SmoothL1=2.155
[Epoch 4][Batch 599], Speed: 120.108 samples/sec, CrossEntropy=3.651, SmoothL1=2.158
[Epoch 4][Batch 699], Speed: 119.217 samples/sec, CrossEntropy=3.652, SmoothL1=2.161
[Epoch 4][Batch 799], Speed: 93.904 samples/sec, CrossEntropy=3.650, SmoothL1=2.156
[Epoch 4][Batch 899], Speed: 129.070 samples/sec, CrossEntropy=3.646, SmoothL1=2.155
[Epoch 4][Batch 999], Speed: 120.925 samples/sec, CrossEntropy=3.645, SmoothL1=2.152
[Epoch 4][Batch 1099], Speed: 135.538 samples/sec, CrossEntropy=3.648, SmoothL1=2.154
[Epoch 4][Batch 1199], Speed: 121.416 samples/sec, CrossEntropy=3.646, SmoothL1=2.158
[Epoch 4][Batch 1299], Speed: 123.170 samples/sec, CrossEntropy=3.645, SmoothL1=2.156
[Epoch 4][Batch 1399], Speed: 115.971 samples/sec, CrossEntropy=3.645, SmoothL1=2.152
[Epoch 4][Batch 1499], Speed: 126.373 samples/sec, CrossEntropy=3.645, SmoothL1=2.150
[Epoch 4][Batch 1599], Speed: 127.102 samples/sec, CrossEntropy=3.644, SmoothL1=2.145
[Epoch 4][Batch 1699], Speed: 112.176 samples/sec, CrossEntropy=3.641, SmoothL1=2.144
[Epoch 4][Batch 1799], Speed: 133.805 samples/sec, CrossEntropy=3.640, SmoothL1=2.143
[Epoch 4][Batch 1899], Speed: 122.428 samples/sec, CrossEntropy=3.639, SmoothL1=2.142
[Epoch 4][Batch 1999], Speed: 146.033 samples/sec, CrossEntropy=3.636, SmoothL1=2.141
[Epoch 4][Batch 2099], Speed: 126.161 samples/sec, CrossEntropy=3.635, SmoothL1=2.139
[Epoch 4][Batch 2199], Speed: 122.718 samples/sec, CrossEntropy=3.633, SmoothL1=2.139
[Epoch 4][Batch 2299], Speed: 123.207 samples/sec, CrossEntropy=3.631, SmoothL1=2.138
[Epoch 4][Batch 2399], Speed: 136.726 samples/sec, CrossEntropy=3.629, SmoothL1=2.137
[Epoch 4][Batch 2499], Speed: 123.488 samples/sec, CrossEntropy=3.626, SmoothL1=2.134
