Namespace(bptt=2000, gpus='3', lambdas=0.1279, save='standard_lstm_lm_200', theta=0.662, user_model=False, window=2000)
Batch 2000/217646, ppl 87.055094
Batch 4000/217646, ppl 73.745862
Batch 6000/217646, ppl 64.626697
Batch 8000/217646, ppl 67.280494
Batch 10000/217646, ppl 71.250496
Batch 12000/217646, ppl 69.080260
Batch 14000/217646, ppl 73.596776
Batch 16000/217646, ppl 75.847927
Batch 18000/217646, ppl 76.651578
Batch 20000/217646, ppl 75.776663
Batch 22000/217646, ppl 77.640322
Batch 24000/217646, ppl 78.621177
Batch 26000/217646, ppl 75.536715
Batch 28000/217646, ppl 72.627046
Batch 30000/217646, ppl 72.106607
Batch 32000/217646, ppl 70.955565
Batch 34000/217646, ppl 71.944082
Batch 36000/217646, ppl 73.434949
Batch 38000/217646, ppl 74.067357
Batch 40000/217646, ppl 73.645061
Batch 42000/217646, ppl 72.396659
Batch 44000/217646, ppl 71.112447
Batch 46000/217646, ppl 70.900918
Batch 48000/217646, ppl 71.168067
Batch 50000/217646, ppl 71.376607
Batch 52000/217646, ppl 71.573512
Batch 54000/217646, ppl 69.882606
Batch 56000/217646, ppl 70.061278
Batch 58000/217646, ppl 69.968550
Batch 60000/217646, ppl 70.032186
Batch 62000/217646, ppl 69.722534
Batch 64000/217646, ppl 69.875118
Batch 66000/217646, ppl 69.934606
Batch 68000/217646, ppl 69.405182
Batch 70000/217646, ppl 70.265379
Batch 72000/217646, ppl 71.210106
Batch 74000/217646, ppl 71.741311
Batch 76000/217646, ppl 71.586089
Batch 78000/217646, ppl 71.812225
Batch 80000/217646, ppl 71.789380
Batch 82000/217646, ppl 71.913691
Batch 84000/217646, ppl 71.793907
Batch 86000/217646, ppl 70.901431
Batch 88000/217646, ppl 71.422523
Batch 90000/217646, ppl 72.564009
Batch 92000/217646, ppl 73.115310
Batch 94000/217646, ppl 73.894581
Batch 96000/217646, ppl 73.122694
Batch 98000/217646, ppl 72.833329
Batch 100000/217646, ppl 72.566681
Batch 102000/217646, ppl 72.986437
Batch 104000/217646, ppl 73.141273
Batch 106000/217646, ppl 73.379792
Batch 108000/217646, ppl 73.678899
Batch 110000/217646, ppl 73.437397
Batch 112000/217646, ppl 73.817620
Batch 114000/217646, ppl 74.065787
Batch 116000/217646, ppl 74.242843
Batch 118000/217646, ppl 74.540043
Batch 120000/217646, ppl 74.760843
Batch 122000/217646, ppl 75.246329
Batch 124000/217646, ppl 75.166902
Batch 126000/217646, ppl 74.794319
Batch 128000/217646, ppl 74.705215
Batch 130000/217646, ppl 75.113046
Batch 132000/217646, ppl 75.166516
Batch 134000/217646, ppl 75.405744
Batch 136000/217646, ppl 75.407154
Batch 138000/217646, ppl 75.406003
Batch 140000/217646, ppl 75.128534
Batch 142000/217646, ppl 74.955449
Batch 144000/217646, ppl 74.725812
Batch 146000/217646, ppl 74.633293
Batch 148000/217646, ppl 74.442439
Batch 150000/217646, ppl 74.505529
Batch 152000/217646, ppl 74.671952
Batch 154000/217646, ppl 74.517568
Batch 156000/217646, ppl 74.979304
Batch 158000/217646, ppl 75.093885
Batch 160000/217646, ppl 75.303642
Batch 162000/217646, ppl 75.279031
Batch 164000/217646, ppl 75.164788
Batch 166000/217646, ppl 75.041530
