Namespace(bptt=2000, gpus='2', lambdas=0.1279, save='awd_lstm_lm_600', theta=0.662, user_model=False, window=2000)
Batch 116000/245569, ppl 56.501926
Batch 118000/245569, ppl 56.531518
Batch 120000/245569, ppl 56.802309
Batch 122000/245569, ppl 57.130751
Batch 124000/245569, ppl 57.025574
Batch 126000/245569, ppl 57.003304
Batch 128000/245569, ppl 56.997699
Batch 130000/245569, ppl 56.946611
Batch 132000/245569, ppl 57.101048
Batch 134000/245569, ppl 57.267938
Batch 136000/245569, ppl 57.588984
Batch 138000/245569, ppl 57.269253
Batch 140000/245569, ppl 56.942160
Batch 142000/245569, ppl 56.805773
Batch 144000/245569, ppl 56.898215
Batch 146000/245569, ppl 57.103116
Batch 148000/245569, ppl 57.416956
Batch 150000/245569, ppl 57.639913
Batch 152000/245569, ppl 58.134756
Batch 154000/245569, ppl 58.631837
Batch 156000/245569, ppl 59.177884
Batch 158000/245569, ppl 59.563335
Batch 160000/245569, ppl 59.987407
Batch 162000/245569, ppl 60.370165
Batch 164000/245569, ppl 60.469229
Batch 166000/245569, ppl 60.707446
Batch 168000/245569, ppl 61.035564
Batch 170000/245569, ppl 61.264877
Batch 172000/245569, ppl 61.436762
Batch 174000/245569, ppl 61.657475
Batch 176000/245569, ppl 61.831534
Batch 178000/245569, ppl 61.978246
Batch 180000/245569, ppl 61.964658
Batch 182000/245569, ppl 62.210813
Batch 184000/245569, ppl 62.225568
Batch 186000/245569, ppl 62.240255
Batch 188000/245569, ppl 62.193468
Batch 190000/245569, ppl 62.158089
Batch 192000/245569, ppl 61.954464
Batch 194000/245569, ppl 62.108710
Batch 196000/245569, ppl 62.307046
Batch 198000/245569, ppl 62.529467
Batch 200000/245569, ppl 62.304986
Batch 202000/245569, ppl 62.233902
Batch 204000/245569, ppl 62.307632
Batch 206000/245569, ppl 62.118587
Batch 208000/245569, ppl 61.830260
Batch 210000/245569, ppl 61.528332
Batch 212000/245569, ppl 61.352426
Batch 214000/245569, ppl 61.391661
Batch 216000/245569, ppl 61.368832
Batch 218000/245569, ppl 61.012298
Batch 220000/245569, ppl 60.934037
Batch 222000/245569, ppl 60.927062
Batch 224000/245569, ppl 61.073937
Batch 226000/245569, ppl 61.169779
Batch 228000/245569, ppl 61.359550
Batch 230000/245569, ppl 61.320422
Batch 232000/245569, ppl 61.083725
Batch 234000/245569, ppl 61.101231
Batch 236000/245569, ppl 61.245958
Batch 238000/245569, ppl 61.561992
Batch 240000/245569, ppl 61.610991
Batch 242000/245569, ppl 61.813619
Batch 244000/245569, ppl 62.063259
Best validation loss 4.17, val ppl 64.51
Best test loss 4.13, test ppl 62.19
Total time cost 1313.42s
