INFO:root:Namespace(batch_norm=False, batch_size=128, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', last_gamma=True, log_interval=50, logging_dir='logs', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mode='hybrid', model='resnet101_v1b', momentum=0.9, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', save_dir='params_resnet101_v1b', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
[21:39:51] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/train.rec, use 31 threads for decoding..
[21:39:54] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/val.rec, use 31 threads for decoding..
[21:40:28] src/kvstore/././comm.h:689: only 32 out of 56 GPU pairs are enabled direct access. It may affect the performance. You can set MXNET_ENABLE_GPU_P2P=0 to turn it off
[21:40:28] src/kvstore/././comm.h:698: .vvvv...
[21:40:28] src/kvstore/././comm.h:698: v.vv.v..
[21:40:28] src/kvstore/././comm.h:698: vv.v..v.
[21:40:28] src/kvstore/././comm.h:698: vvv....v
[21:40:28] src/kvstore/././comm.h:698: v....vvv
[21:40:28] src/kvstore/././comm.h:698: .v..v.vv
[21:40:28] src/kvstore/././comm.h:698: ..v.vv.v
[21:40:28] src/kvstore/././comm.h:698: ...vvvv.
[21:40:32] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [49]	Speed: 1189.454668 samples/sec	top1-err=0.998945	lr=0.003133
INFO:root:Epoch[0] Batch [99]	Speed: 2817.076396 samples/sec	top1-err=0.998789	lr=0.006331
INFO:root:Epoch[0] Batch [149]	Speed: 2848.366002 samples/sec	top1-err=0.998008	lr=0.009528
INFO:root:Epoch[0] Batch [199]	Speed: 2898.756834 samples/sec	top1-err=0.996860	lr=0.012726
INFO:root:Epoch[0] Batch [249]	Speed: 2773.968228 samples/sec	top1-err=0.995965	lr=0.015923
INFO:root:Epoch[0] Batch [299]	Speed: 2712.274990 samples/sec	top1-err=0.994951	lr=0.019121
INFO:root:Epoch[0] Batch [349]	Speed: 2819.082087 samples/sec	top1-err=0.994029	lr=0.022318
INFO:root:Epoch[0] Batch [399]	Speed: 2888.054728 samples/sec	top1-err=0.993125	lr=0.025516
INFO:root:Epoch[0] Batch [449]	Speed: 2742.553674 samples/sec	top1-err=0.992164	lr=0.028713
INFO:root:Epoch[0] Batch [499]	Speed: 2781.849122 samples/sec	top1-err=0.991262	lr=0.031910
INFO:root:Epoch[0] Batch [549]	Speed: 2761.978978 samples/sec	top1-err=0.990286	lr=0.035108
INFO:root:Epoch[0] Batch [599]	Speed: 2867.350902 samples/sec	top1-err=0.989491	lr=0.038305
INFO:root:Epoch[0] Batch [649]	Speed: 2793.476990 samples/sec	top1-err=0.988598	lr=0.041503
INFO:root:Epoch[0] Batch [699]	Speed: 2773.806670 samples/sec	top1-err=0.987709	lr=0.044700
INFO:root:Epoch[0] Batch [749]	Speed: 2786.963447 samples/sec	top1-err=0.986891	lr=0.047898
INFO:root:Epoch[0] Batch [799]	Speed: 2916.609972 samples/sec	top1-err=0.986082	lr=0.051095
INFO:root:Epoch[0] Batch [849]	Speed: 2779.471371 samples/sec	top1-err=0.985153	lr=0.054293
INFO:root:Epoch[0] Batch [899]	Speed: 2866.611306 samples/sec	top1-err=0.984317	lr=0.057490
INFO:root:Epoch[0] Batch [949]	Speed: 2761.273066 samples/sec	top1-err=0.983421	lr=0.060687
INFO:root:Epoch[0] Batch [999]	Speed: 2865.893089 samples/sec	top1-err=0.982470	lr=0.063885
INFO:root:Epoch[0] Batch [1049]	Speed: 2842.514068 samples/sec	top1-err=0.981491	lr=0.067082
INFO:root:Epoch[0] Batch [1099]	Speed: 2764.751388 samples/sec	top1-err=0.980459	lr=0.070280
INFO:root:Epoch[0] Batch [1149]	Speed: 2694.911302 samples/sec	top1-err=0.979445	lr=0.073477
INFO:root:Epoch[0] Batch [1199]	Speed: 2903.451790 samples/sec	top1-err=0.978430	lr=0.076675
INFO:root:Epoch[0] Batch [1249]	Speed: 2886.882076 samples/sec	top1-err=0.977404	lr=0.079872
INFO:root:[Epoch 0] training: err-top1=0.977380
INFO:root:[Epoch 0] speed: 2665 samples/sec	time cost: 493.219946
INFO:root:[Epoch 0] validation: err-top1=0.951790 err-top5=0.861428
INFO:root:Epoch[1] Batch [49]	Speed: 2733.041856 samples/sec	top1-err=0.950234	lr=0.083133
INFO:root:Epoch[1] Batch [99]	Speed: 3068.619174 samples/sec	top1-err=0.948838	lr=0.086331
INFO:root:Epoch[1] Batch [149]	Speed: 2808.961019 samples/sec	top1-err=0.947526	lr=0.089528
INFO:root:Epoch[1] Batch [199]	Speed: 2877.230960 samples/sec	top1-err=0.945986	lr=0.092726
INFO:root:Epoch[1] Batch [249]	Speed: 2934.315029 samples/sec	top1-err=0.944645	lr=0.095923
INFO:root:Epoch[1] Batch [299]	Speed: 2904.554029 samples/sec	top1-err=0.943008	lr=0.099121
INFO:root:Epoch[1] Batch [349]	Speed: 2768.595230 samples/sec	top1-err=0.941604	lr=0.102318
INFO:root:Epoch[1] Batch [399]	Speed: 2839.362943 samples/sec	top1-err=0.939856	lr=0.105516
INFO:root:Epoch[1] Batch [449]	Speed: 2724.575977 samples/sec	top1-err=0.938353	lr=0.108713
INFO:root:Epoch[1] Batch [499]	Speed: 2720.350510 samples/sec	top1-err=0.936531	lr=0.111910
INFO:root:Epoch[1] Batch [549]	Speed: 2841.943676 samples/sec	top1-err=0.934693	lr=0.115108
INFO:root:Epoch[1] Batch [599]	Speed: 2888.099667 samples/sec	top1-err=0.932941	lr=0.118305
INFO:root:Epoch[1] Batch [649]	Speed: 2819.939026 samples/sec	top1-err=0.930978	lr=0.121503
INFO:root:Epoch[1] Batch [699]	Speed: 2824.675469 samples/sec	top1-err=0.928976	lr=0.124700
INFO:root:Epoch[1] Batch [749]	Speed: 2884.768361 samples/sec	top1-err=0.927001	lr=0.127898
INFO:root:Epoch[1] Batch [799]	Speed: 2816.513396 samples/sec	top1-err=0.925060	lr=0.131095
INFO:root:Epoch[1] Batch [849]	Speed: 2773.695643 samples/sec	top1-err=0.922971	lr=0.134293
INFO:root:Epoch[1] Batch [899]	Speed: 2956.536406 samples/sec	top1-err=0.920724	lr=0.137490
INFO:root:Epoch[1] Batch [949]	Speed: 2926.625922 samples/sec	top1-err=0.918338	lr=0.140687
INFO:root:Epoch[1] Batch [999]	Speed: 2888.627928 samples/sec	top1-err=0.915947	lr=0.143885
INFO:root:Epoch[1] Batch [1049]	Speed: 2814.713587 samples/sec	top1-err=0.913471	lr=0.147082
INFO:root:Epoch[1] Batch [1099]	Speed: 2740.214168 samples/sec	top1-err=0.910984	lr=0.150280
INFO:root:Epoch[1] Batch [1149]	Speed: 2812.957454 samples/sec	top1-err=0.908433	lr=0.153477
INFO:root:Epoch[1] Batch [1199]	Speed: 2751.255005 samples/sec	top1-err=0.905920	lr=0.156675
