INFO:root:Namespace(batch_norm=False, batch_size=64, data_dir='~/.mxnet/datasets/imagenet', log_interval=50, logging_dir='logs', lr=0.1, lr_decay=0.1, lr_decay_epoch='30,60,90', lr_decay_period=0, mode='hybrid', model='resnet101_v1', momentum=0.9, num_epochs=150, num_gpus=4, num_workers=32, save_dir='params', save_frequency=10, save_plot_dir='.', use_pretrained=False, use_thumbnail=False, wd=0.0001)
[00:18:21] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [49]	Speed: 324.976479 samples/sec	top1-err=0.998906	top5-err=0.995234
INFO:root:Epoch[0] Batch [99]	Speed: 660.767428 samples/sec	top1-err=0.998984	top5-err=0.995000
INFO:root:Epoch[0] Batch [149]	Speed: 663.060617 samples/sec	top1-err=0.998958	top5-err=0.994609
INFO:root:Epoch[0] Batch [199]	Speed: 665.079967 samples/sec	top1-err=0.998984	top5-err=0.994629
INFO:root:Epoch[0] Batch [249]	Speed: 664.159185 samples/sec	top1-err=0.998984	top5-err=0.994766
INFO:root:Epoch[0] Batch [299]	Speed: 666.488313 samples/sec	top1-err=0.998854	top5-err=0.994440
INFO:root:Epoch[0] Batch [349]	Speed: 666.156988 samples/sec	top1-err=0.998806	top5-err=0.994174
INFO:root:Epoch[0] Batch [399]	Speed: 667.404318 samples/sec	top1-err=0.998760	top5-err=0.993848
INFO:root:Epoch[0] Batch [449]	Speed: 665.522732 samples/sec	top1-err=0.998689	top5-err=0.993429
INFO:root:Epoch[0] Batch [499]	Speed: 666.965658 samples/sec	top1-err=0.998633	top5-err=0.993078
INFO:root:Epoch[0] Batch [549]	Speed: 658.184287 samples/sec	top1-err=0.998565	top5-err=0.992692
INFO:root:Epoch[0] Batch [599]	Speed: 661.197571 samples/sec	top1-err=0.998451	top5-err=0.992311
INFO:root:Epoch[0] Batch [649]	Speed: 664.229770 samples/sec	top1-err=0.998281	top5-err=0.991809
INFO:root:Epoch[0] Batch [699]	Speed: 665.838256 samples/sec	top1-err=0.998209	top5-err=0.991523
INFO:root:Epoch[0] Batch [749]	Speed: 665.113592 samples/sec	top1-err=0.998120	top5-err=0.991078
INFO:root:Epoch[0] Batch [799]	Speed: 661.373990 samples/sec	top1-err=0.998047	top5-err=0.990859
INFO:root:Epoch[0] Batch [849]	Speed: 663.576826 samples/sec	top1-err=0.997978	top5-err=0.990579
INFO:root:Epoch[0] Batch [899]	Speed: 665.548960 samples/sec	top1-err=0.997878	top5-err=0.990178
INFO:root:Epoch[0] Batch [949]	Speed: 648.983452 samples/sec	top1-err=0.997833	top5-err=0.989864
INFO:root:Epoch[0] Batch [999]	Speed: 660.078879 samples/sec	top1-err=0.997711	top5-err=0.989520
INFO:root:Epoch[0] Batch [1049]	Speed: 662.928823 samples/sec	top1-err=0.997608	top5-err=0.989077
