INFO:root:Namespace(batch_norm=False, batch_size=128, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', last_gamma=False, log_interval=50, logging_dir='logs', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mode='hybrid', model='resnet101_v2', momentum=0.9, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', save_dir='params_resnet101_v2', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
[17:00:15] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/train.rec, use 31 threads for decoding..
[17:00:18] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/val.rec, use 31 threads for decoding..
[17:00:52] src/kvstore/././comm.h:689: only 32 out of 56 GPU pairs are enabled direct access. It may affect the performance. You can set MXNET_ENABLE_GPU_P2P=0 to turn it off
[17:00:52] src/kvstore/././comm.h:698: .vvvv...
[17:00:52] src/kvstore/././comm.h:698: v.vv.v..
[17:00:52] src/kvstore/././comm.h:698: vv.v..v.
[17:00:52] src/kvstore/././comm.h:698: vvv....v
[17:00:52] src/kvstore/././comm.h:698: v....vvv
[17:00:52] src/kvstore/././comm.h:698: .v..v.vv
[17:00:52] src/kvstore/././comm.h:698: ..v.vv.v
[17:00:52] src/kvstore/././comm.h:698: ...vvvv.
[17:00:58] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [49]	Speed: 1151.309685 samples/sec	top1-err=0.999160	lr=0.003133
INFO:root:Epoch[0] Batch [99]	Speed: 3045.141994 samples/sec	top1-err=0.998955	lr=0.006331
INFO:root:Epoch[0] Batch [149]	Speed: 3018.568375 samples/sec	top1-err=0.998815	lr=0.009528
INFO:root:Epoch[0] Batch [199]	Speed: 3100.060238 samples/sec	top1-err=0.998564	lr=0.012726
INFO:root:Epoch[0] Batch [249]	Speed: 3429.474461 samples/sec	top1-err=0.998184	lr=0.015923
INFO:root:Epoch[0] Batch [299]	Speed: 3432.750347 samples/sec	top1-err=0.997741	lr=0.019121
INFO:root:Epoch[0] Batch [349]	Speed: 3349.335582 samples/sec	top1-err=0.997319	lr=0.022318
INFO:root:Epoch[0] Batch [399]	Speed: 3420.800915 samples/sec	top1-err=0.996797	lr=0.025516
INFO:root:Epoch[0] Batch [449]	Speed: 3279.261197 samples/sec	top1-err=0.996309	lr=0.028713
INFO:root:Epoch[0] Batch [499]	Speed: 3264.939237 samples/sec	top1-err=0.995703	lr=0.031910
INFO:root:Epoch[0] Batch [549]	Speed: 3213.344824 samples/sec	top1-err=0.995032	lr=0.035108
INFO:root:Epoch[0] Batch [599]	Speed: 3467.968874 samples/sec	top1-err=0.994352	lr=0.038305
INFO:root:Epoch[0] Batch [649]	Speed: 2817.639473 samples/sec	top1-err=0.993535	lr=0.041503
INFO:root:Epoch[0] Batch [699]	Speed: 3052.234467 samples/sec	top1-err=0.992633	lr=0.044700
INFO:root:Epoch[0] Batch [749]	Speed: 3397.937703 samples/sec	top1-err=0.991549	lr=0.047898
INFO:root:Epoch[0] Batch [799]	Speed: 3336.216066 samples/sec	top1-err=0.990321	lr=0.051095
INFO:root:Epoch[0] Batch [849]	Speed: 2970.610045 samples/sec	top1-err=0.989049	lr=0.054293
INFO:root:Epoch[0] Batch [899]	Speed: 2934.312824 samples/sec	top1-err=0.987704	lr=0.057490
INFO:root:Epoch[0] Batch [949]	Speed: 3111.735030 samples/sec	top1-err=0.986236	lr=0.060687
INFO:root:Epoch[0] Batch [999]	Speed: 3331.467410 samples/sec	top1-err=0.984589	lr=0.063885
INFO:root:Epoch[0] Batch [1049]	Speed: 2920.942624 samples/sec	top1-err=0.982901	lr=0.067082
INFO:root:Epoch[0] Batch [1099]	Speed: 2810.720955 samples/sec	top1-err=0.981135	lr=0.070280
INFO:root:Epoch[0] Batch [1149]	Speed: 3343.149707 samples/sec	top1-err=0.979263	lr=0.073477
INFO:root:Epoch[0] Batch [1199]	Speed: 2958.266033 samples/sec	top1-err=0.977381	lr=0.076675
INFO:root:Epoch[0] Batch [1249]	Speed: 3031.067240 samples/sec	top1-err=0.975373	lr=0.079872
INFO:root:[Epoch 0] training: err-top1=0.975285
INFO:root:[Epoch 0] speed: 2947 samples/sec	time cost: 446.750982
INFO:root:[Epoch 0] validation: err-top1=0.923988 err-top5=0.796417
INFO:root:Epoch[1] Batch [49]	Speed: 3058.772083 samples/sec	top1-err=0.921445	lr=0.083133
INFO:root:Epoch[1] Batch [99]	Speed: 2927.341226 samples/sec	top1-err=0.919111	lr=0.086331
INFO:root:Epoch[1] Batch [149]	Speed: 3071.511743 samples/sec	top1-err=0.916243	lr=0.089528
INFO:root:Epoch[1] Batch [199]	Speed: 2708.507609 samples/sec	top1-err=0.912388	lr=0.092726
INFO:root:Epoch[1] Batch [249]	Speed: 2742.125698 samples/sec	top1-err=0.909910	lr=0.095923
INFO:root:Epoch[1] Batch [299]	Speed: 2883.352716 samples/sec	top1-err=0.907308	lr=0.099121
INFO:root:Epoch[1] Batch [349]	Speed: 2878.761035 samples/sec	top1-err=0.904492	lr=0.102318
