[Epoch 0][Batch 1799], Speed: 6.647 samples/sec, RPN_Conf=0.096,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.544,RCNN_SmoothL1=0.222,RCNN_Mask=0.500,RPNAcc=0.962,RPNL1Loss=0.504,RCNNAcc=0.898,RCNNL1Loss=2.011,MaskAcc=0.745,MaskFGAcc=0.641
[Epoch 0][Batch 1899], Speed: 6.629 samples/sec, RPN_Conf=0.094,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.540,RCNN_SmoothL1=0.221,RCNN_Mask=0.495,RPNAcc=0.962,RPNL1Loss=0.501,RCNNAcc=0.898,RCNNL1Loss=1.988,MaskAcc=0.748,MaskFGAcc=0.640
[Epoch 0][Batch 1999], Speed: 6.565 samples/sec, RPN_Conf=0.093,RPN_SmoothL1=0.060,RCNN_CrossEntropy=0.536,RCNN_SmoothL1=0.220,RCNN_Mask=0.490,RPNAcc=0.963,RPNL1Loss=0.499,RCNNAcc=0.897,RCNNL1Loss=1.964,MaskAcc=0.752,MaskFGAcc=0.639
[Epoch 0][Batch 2099], Speed: 6.641 samples/sec, RPN_Conf=0.092,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.532,RCNN_SmoothL1=0.218,RCNN_Mask=0.485,RPNAcc=0.963,RPNL1Loss=0.496,RCNNAcc=0.897,RCNNL1Loss=1.943,MaskAcc=0.755,MaskFGAcc=0.637
[Epoch 0][Batch 2199], Speed: 6.674 samples/sec, RPN_Conf=0.091,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.528,RCNN_SmoothL1=0.217,RCNN_Mask=0.481,RPNAcc=0.964,RPNL1Loss=0.494,RCNNAcc=0.897,RCNNL1Loss=1.922,MaskAcc=0.758,MaskFGAcc=0.635
[Epoch 0][Batch 2299], Speed: 6.655 samples/sec, RPN_Conf=0.091,RPN_SmoothL1=0.059,RCNN_CrossEntropy=0.525,RCNN_SmoothL1=0.216,RCNN_Mask=0.476,RPNAcc=0.964,RPNL1Loss=0.491,RCNNAcc=0.897,RCNNL1Loss=1.902,MaskAcc=0.761,MaskFGAcc=0.635
[Epoch 0][Batch 2399], Speed: 6.628 samples/sec, RPN_Conf=0.090,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.521,RCNN_SmoothL1=0.215,RCNN_Mask=0.473,RPNAcc=0.965,RPNL1Loss=0.489,RCNNAcc=0.897,RCNNL1Loss=1.883,MaskAcc=0.764,MaskFGAcc=0.633
[Epoch 0][Batch 2499], Speed: 6.613 samples/sec, RPN_Conf=0.089,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.518,RCNN_SmoothL1=0.213,RCNN_Mask=0.469,RPNAcc=0.965,RPNL1Loss=0.487,RCNNAcc=0.897,RCNNL1Loss=1.866,MaskAcc=0.766,MaskFGAcc=0.632
[Epoch 0][Batch 2599], Speed: 6.664 samples/sec, RPN_Conf=0.088,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.514,RCNN_SmoothL1=0.212,RCNN_Mask=0.465,RPNAcc=0.965,RPNL1Loss=0.485,RCNNAcc=0.897,RCNNL1Loss=1.849,MaskAcc=0.769,MaskFGAcc=0.630
[Epoch 0][Batch 2699], Speed: 6.640 samples/sec, RPN_Conf=0.087,RPN_SmoothL1=0.058,RCNN_CrossEntropy=0.511,RCNN_SmoothL1=0.211,RCNN_Mask=0.462,RPNAcc=0.966,RPNL1Loss=0.483,RCNNAcc=0.897,RCNNL1Loss=1.829,MaskAcc=0.771,MaskFGAcc=0.629
[Epoch 0][Batch 2799], Speed: 6.615 samples/sec, RPN_Conf=0.086,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.508,RCNN_SmoothL1=0.210,RCNN_Mask=0.459,RPNAcc=0.966,RPNL1Loss=0.481,RCNNAcc=0.897,RCNNL1Loss=1.813,MaskAcc=0.773,MaskFGAcc=0.627
[Epoch 0][Batch 2899], Speed: 6.652 samples/sec, RPN_Conf=0.086,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.505,RCNN_SmoothL1=0.209,RCNN_Mask=0.456,RPNAcc=0.966,RPNL1Loss=0.479,RCNNAcc=0.897,RCNNL1Loss=1.798,MaskAcc=0.775,MaskFGAcc=0.626
[Epoch 0][Batch 2999], Speed: 6.650 samples/sec, RPN_Conf=0.085,RPN_SmoothL1=0.057,RCNN_CrossEntropy=0.502,RCNN_SmoothL1=0.208,RCNN_Mask=0.452,RPNAcc=0.967,RPNL1Loss=0.477,RCNNAcc=0.897,RCNNL1Loss=1.782,MaskAcc=0.777,MaskFGAcc=0.625
